Gyro_x,Gyro_y,Gyro_z,Acc_x,Acc_y,Acc_z,Euler_x,Euler_y,Euler_z,Quat_0,Quat_1,Quat_2,Quat_3
0.125,-0.0625,0,-0.29,0.18,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.125,0,-0.32,0.19,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,-0.125,-0.3,0.2,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0,0.0625,-0.29,0.16,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0,0.0625,-0.31,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,0.0625,-0.29,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,0.0625,-0.3,0.2,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.125,0,-0.29,0.18,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.1875,-0.375,0,-0.29,0.17,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.125,-0.0625,-0.32,0.16,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.125,-0.0625,-0.31,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.1875,-0.0625,-0.3,0.18,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.25,-0.0625,0.0625,-0.28,0.21,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,0.125,-0.28,0.2,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,-0.0625,0,-0.3,0.17,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.0625,0,-0.31,0.16,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.125,-0.0625,-0.32,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0.0625,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.1875,-0.125,-0.0625,-0.32,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.1875,0.125,-0.0625,-0.27,0.22,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,0,-0.29,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0,0,-0.28,0.2,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0,-0.0625,-0.3,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.25,-0.0625,-0.3,0.16,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0,-0.0625,-0.3,0.15,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,0.125,-0.3,0.17,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0,-0.29,0.19,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.125,-0.0625,-0.31,0.2,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.25,-0.0625,-0.31,0.17,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0,-0.3,0.19,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.1875,-0.125,0.125,-0.3,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,-0.0625,-0.31,0.17,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0.125,-0.32,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0,-0.3,0.18,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,-0.0625,-0.0625,-0.3,0.21,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,-0.0625,-0.3,0.19,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,-0.125,-0.0625,-0.29,0.19,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.25,-0.0625,0,-0.29,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.0625,0.0625,-0.3,0.17,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.1875,-0.0625,-0.29,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.125,-0.1875,-0.31,0.2,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0,-0.3,0.17,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0,0.125,-0.3,0.19,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.125,-0.0625,-0.3,0.16,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.125,0,-0.31,0.2,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.125,-0.125,-0.29,0.16,9.62,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.0625,-0.125,-0.3,0.19,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0,-0.3,0.14,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.125,-0.0625,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.125,0,-0.29,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,-0.0625,-0.28,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,0,0,-0.3,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.0625,0.125,-0.3,0.16,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,-0.0625,-0.29,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0,0.0625,-0.31,0.2,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0,-0.28,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.125,-0.125,-0.3,0.19,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0,-0.0625,-0.29,0.18,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,-0.25,0.125,-0.31,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,-0.0625,-0.29,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,0.0625,-0.3,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.1875,-0.0625,-0.3,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,0.125,-0.3,0.19,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.1875,0,-0.31,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.125,0.0625,-0.28,0.18,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,-0.0625,-0.3,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.1875,0,-0.29,0.18,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.1875,0,-0.0625,-0.29,0.16,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,-0.0625,-0.27,0.2,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,0.125,0,-0.29,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.0625,0,-0.29,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.125,0,-0.31,0.16,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.1875,-0.125,-0.32,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,0.1875,0,-0.29,0.19,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.1875,0,-0.29,0.2,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0.0625,-0.31,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,-0.0625,0.0625,-0.3,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.0625,-0.0625,-0.28,0.18,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0,-0.28,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,0,0.0625,-0.29,0.19,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0.0625,0.125,-0.3,0.19,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.125,-0.125,-0.29,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.0625,0,-0.28,0.2,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.125,-0.0625,-0.28,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.0625,0,-0.29,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,0,0.125,-0.29,0.17,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0.0625,-0.0625,-0.29,0.2,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.125,0,-0.28,0.21,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.125,-0.125,0,-0.27,0.22,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.1875,-0.125,0,-0.31,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.25,-0.0625,0.125,-0.29,0.14,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.0625,0,0.0625,-0.27,0.16,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.0625,-0.0625,0,-0.29,0.22,9.52,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0,0.125,-0.31,0.2,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.1875,0.25,-0.0625,-0.31,0.15,9.65,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.25,0,-0.3,0.15,9.52,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
-0.125,0.125,0.0625,-0.32,0.13,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,0.1875,-0.125,-0.3,0.18,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.375,-0.25,-0.0625,-0.32,0.22,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0.3125,-0.375,-0.0625,-0.29,0.22,9.65,-1,-2.25,9.6875,0.996155,0.010437,0.019104,-0.0846558
0,-0.625,0,-0.3,0.22,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.375,-0.4375,0.125,-0.28,0.15,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.4375,-0.125,-0.0625,-0.25,0.15,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.3125,0,-0.125,-0.3,0.16,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.125,0.0625,-0.26,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.1875,0.3125,0,-0.32,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.375,0.375,-0.125,-0.29,0.19,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.3125,-0.0625,-0.32,0.2,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.375,0,-0.3,0.18,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.25,0,0,-0.32,0.14,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.25,0.0625,-0.32,0.12,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.125,-0.0625,-0.3,0.17,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.25,-0.1875,0,-0.29,0.2,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,-0.25,-0.125,-0.28,0.19,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.1875,-0.25,0.0625,-0.3,0.16,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.1875,0,0.0625,-0.3,0.16,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.125,0.0625,0.0625,-0.3,0.16,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.1875,0.125,0.0625,-0.3,0.18,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.1875,-0.0625,-0.3,0.2,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.3125,0.0625,-0.3,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.3125,-0.0625,-0.31,0.16,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0,-0.0625,-0.31,0.17,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.0625,0.125,-0.28,0.2,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.1875,0.0625,-0.28,0.18,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,-0.25,0,-0.27,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.0625,0,-0.28,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0,0,-0.29,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.0625,0,-0.29,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.125,0.0625,0,-0.28,0.19,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.0625,0,-0.32,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.25,0.0625,-0.31,0.16,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.375,-0.0625,-0.31,0.18,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.25,-0.0625,-0.31,0.19,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.0625,-0.0625,-0.3,0.2,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.3125,0.125,-0.33,0.22,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.125,-0.0625,-0.28,0.19,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,-0.1875,0,-0.29,0.19,9.61,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.5,0.0625,-0.29,0.16,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.1875,-0.125,0.0625,-0.29,0.15,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.0625,0,-0.29,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.1875,0,-0.29,0.17,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.125,0,-0.0625,-0.31,0.22,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.125,0.4375,-0.125,-0.29,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.25,0.125,-0.32,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.0625,-0.0625,-0.32,0.17,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.125,-0.0625,-0.29,0.2,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,-0.25,0,-0.3,0.2,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,-0.0625,-0.125,-0.29,0.21,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.375,0.125,-0.28,0.19,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.3125,0,-0.28,0.17,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.0625,0,-0.28,0.17,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.25,0,-0.31,0.16,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.3125,0.0625,-0.33,0.13,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,0.375,-0.0625,-0.31,0.18,9.52,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.0625,0.1875,-0.0625,-0.3,0.2,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.3125,0.1875,-0.0625,-0.32,0.22,9.62,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.125,0.0625,-0.3,0.18,9.53,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.125,-0.0625,-0.3,0.17,9.52,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.125,0,-0.29,0.16,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.4375,0,-0.31,0.19,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.375,0,-0.27,0.19,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.5,0,-0.26,0.2,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.1875,0,-0.3,0.16,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.0625,-0.125,-0.29,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,0.125,0,-0.27,0.17,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,0.5625,0,-0.31,0.16,9.55,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.1875,0.3125,0,-0.33,0.14,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.1875,0.3125,-0.0625,-0.31,0.18,9.54,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0.1875,0.125,0,-0.3,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,0,0.125,-0.3,0.19,9.6,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.5,-0.0625,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.125,-0.5,-0.0625,-0.28,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
-0.0625,-0.5625,-0.0625,-0.27,0.19,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.019043,-0.0846558
0,-0.625,0,-0.27,0.19,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
-0.1875,0.0625,0,-0.29,0.17,9.62,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
-0.125,0.25,0,-0.28,0.17,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.125,0.5625,0.0625,-0.3,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.125,0.4375,0.0625,-0.3,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.0625,0.375,0.0625,-0.31,0.18,9.56,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.0625,0.5,0.0625,-0.32,0.18,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.0625,0.125,0.0625,-0.31,0.17,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0.0625,0,-0.0625,-0.33,0.17,9.58,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0,-0.3125,-0.0625,-0.31,0.19,9.59,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
0,-0.375,0.0625,-0.28,0.18,9.57,-1,-2.25,9.6875,0.996155,0.010437,0.0189819,-0.0846558
